PitchNo,Date,PAofInning,PitchofPA,PitcherThrows,BatterSide,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-10,1,1,Left,Left,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,91.32476,-3.875151,2.165792,2298.260324,158.794552,11:15,6.4848,-1.15341,6.11264,-15.36713,18.443,-6.67445,1.61318,0.29385,82.51255,-6.828288,0.963543,0.4185,54.68466,-55.511903,56.781279,,,,,2.62545,2.62545,14.904873,0.025187,4.1389,11.1226,0.99071,50.0,6.17905,-4.71609,-132.17066,-9.37408,7.21612,31.95183,-12.78203,SOU_TRO,IOW_HAW,DedeauxField,D1,BIG10,20260410-DedeauxField-1,22255f90-354b-11f1-ac1f-8bbff02d27d6,90.06567,1.67186,,8.81221,,,,1.90791,1.67186,-0.28553,62684f8d-8c64-4301-93bc-24b482f6fa12,2026-04-11,02:07:03.13,2026-04-10T19:07:03.1353344-07:00,2026-04-11T02:07:03.1353344Z,GroundBall,v3,5047,1232,35085,"Cadena, Isaac",822347,Right,SOU_TRO,1c3431ae-5309-40cb-8bce-02c43ba974dd,54.38283,-133.22599,15.97592,6.48168,-8.9519,-6.39101,1.15041,-4.95443,3.60806,,1.9075,24.98097,,,,,,,,1.67295,-66.37694,,,,,,,,-0.28616,38.14771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,65.16058,-0.84793,-6.93273
2,2026-04-10,2,1,Left,Left,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,91.10574,-3.124534,2.14112,2249.673294,154.563693,11:15,6.53011,-1.06907,6.07041,-15.4895,18.43446,-8.18571,2.34316,0.23098,82.3696,-6.102897,0.667864,0.419203,,,,,,,,,,,,4.88095,10.83154,0.9075,50.0,6.27961,-4.58356,-131.96408,-7.6292,8.49842,31.39177,-13.31488,SOU_TRO,IOW_HAW,DedeauxField,D1,BIG10,20260410-DedeauxField-1,3befb2e0-354b-11f1-ac1f-8bbff02d27d6,89.91451,,,8.73613,,,,,,,62684f8d-8c64-4301-93bc-24b482f6fa12,2026-04-11,02:07:46.32,2026-04-10T19:07:46.3277056-07:00,2026-04-11T02:07:46.3277056Z,,v3,5047,1232,35085,"Cadena, Isaac",822347,Right,SOU_TRO,5cd3d12a-8199-42fb-994b-e3afb07ba114,54.42477,-133.01249,15.69589,6.52698,-7.18451,-6.65744,1.06531,-4.86739,4.24921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026-04-10,2,2,Left,Left,Undefined,1,Top,1,0,1,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,82.32763,0.117656,1.116596,2528.098215,310.529109,4:15,6.18699,-1.59861,5.46326,-51.01274,-7.94993,11.2717,2.04607,0.3859,73.86191,-9.200985,3.127918,0.472305,,,,,,,,,,,,-5.23843,-3.51335,1.49251,50.0,6.16297,-2.80024,-119.21566,-1.60661,-7.30953,29.41121,-37.07647,SOU_TRO,IOW_HAW,DedeauxField,D1,BIG10,20260410-DedeauxField-1,469400c0-354b-11f1-ac1f-8bbff02d27d6,79.80529,,,8.46572,,,,,,,62684f8d-8c64-4301-93bc-24b482f6fa12,2026-04-11,02:08:04.20,2026-04-10T19:08:04.2096640-07:00,2026-04-11T02:08:04.2096640Z,,v3,5047,1232,35085,"Cadena, Isaac",822347,Right,SOU_TRO,fa90fe4c-b33d-4ccd-9397-4b14a58c0906,55.03226,-120.45075,14.7056,6.19774,-0.04963,-18.53824,1.60365,-2.49329,-3.65477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-10,2,3,Left,Left,Undefined,1,Top,1,0,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,83.99751,-1.279059,1.854143,2580.359488,323.970285,4:45,6.19144,-1.56738,5.48121,-53.92664,-12.52611,10.27481,0.50001,1.02425,75.73532,-11.055179,3.690886,0.463099,,,,,,,,,,,,-4.57236,-5.59756,1.3973,50.0,6.04206,-4.35667,-121.63018,-4.67906,-6.62736,31.06275,-40.28736,SOU_TRO,IOW_HAW,DedeauxField,D1,BIG10,20260410-DedeauxField-1,5275b0a0-354b-11f1-ac1f-8bbff02d27d6,81.39167,,,8.26219,,,,,,,62684f8d-8c64-4301-93bc-24b482f6fa12,2026-04-11,02:08:24.16,2026-04-10T19:08:24.1615360-07:00,2026-04-11T02:08:24.1615360Z,,v3,5047,1232,35085,"Cadena, Isaac",822347,Right,SOU_TRO,4d76b616-3e18-4ef4-9f5e-88fa29528370,55.01796,-122.90502,15.53137,6.20016,-3.02563,-20.14368,1.57052,-4.08468,-3.31368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
5,2026-04-10,3,1,Left,Right,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,91.34135,-3.428029,1.037792,2330.492363,157.660173,11:15,6.47898,-1.22237,6.16311,-15.45761,18.37981,-7.02437,2.01999,-0.84899,82.1147,-6.41372,-0.229757,0.418668,,,,,,,,,,,,3.95528,10.99855,1.14707,50.0,6.21088,-2.09332,-132.25479,-8.32754,6.86985,33.29908,-13.07084,SOU_TRO,IOW_HAW,DedeauxField,D1,BIG10,20260410-DedeauxField-1,671736f0-354b-11f1-ac1f-8bbff02d27d6,90.02937,,,9.22665,,,,,,,62684f8d-8c64-4301-93bc-24b482f6fa12,2026-04-11,02:08:58.77,2026-04-10T19:08:58.7765248-07:00,2026-04-11T02:08:58.7765248Z,,v3,5047,1232,35085,"Cadena, Isaac",822347,Right,SOU_TRO,36200bf6-a476-4676-a221-99a26cc46b86,54.33042,-133.34064,16.64954,6.47548,-7.90131,-6.53542,1.21899,-2.31734,3.43492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,2026-04-10,3,2,Left,Right,Undefined,1,Top,2,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,73.3569,3.074186,-1.205926,2381.496328,313.019821,4:30,6.3443,-1.22297,5.59021,-61.71803,-7.9515,10.70044,4.07498,-1.45743,65.90163,-8.259626,0.704555,0.527749,,,,,,,,,,,,-5.75347,-4.33819,1.31959,50.0,6.5692,1.82785,-106.17175,3.72975,-6.41389,22.13545,-37.01022,SOU_TRO,IOW_HAW,DedeauxField,D1,BIG10,20260410-DedeauxField-1,7096b3e0-354b-11f1-ac1f-8bbff02d27d6,71.42113,,,7.45528,,,,,,,62684f8d-8c64-4301-93bc-24b482f6fa12,2026-04-11,02:09:14.69,2026-04-10T19:09:14.6939392-07:00,2026-04-11T02:09:14.6939392Z,,v3,5047,1232,35085,"Cadena, Isaac",822347,Right,SOU_TRO,aefe0bae-30e2-4075-8ceb-d58c83df6ee2,54.90587,-107.18968,11.06772,6.35855,5.43172,-18.50511,1.22875,2.1228,-3.20695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
7,2026-04-10,3,3,Left,Right,Undefined,1,Top,2,1,1,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,81.84817,-0.431964,0.55349,2520.634641,314.228029,4:30,6.13613,-1.6829,5.68979,-50.55995,-7.42225,9.34977,1.52019,-0.38789,73.58913,-9.698427,2.230702,0.472716,,,,,,,,,,,,-4.5374,-3.10917,1.6305,50.0,6.06869,-1.52559,-118.60317,-2.65338,-6.27104,28.96076,-36.47117,SOU_TRO,IOW_HAW,DedeauxField,D1,BIG10,20260410-DedeauxField-1,7ba33970-354b-11f1-ac1f-8bbff02d27d6,79.73597,,,8.25904,,,,,,,62684f8d-8c64-4301-93bc-24b482f6fa12,2026-04-11,02:09:33.20,2026-04-10T19:09:33.2013056-07:00,2026-04-11T02:09:33.2013056Z,,v3,5047,1232,35085,"Cadena, Isaac",822347,Right,SOU_TRO,0549e2fa-2d68-440d-ab2f-f84c997b3679,54.80619,-119.77101,14.48038,6.14604,-1.18268,-18.23558,1.68692,-1.27271,-3.13552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,2026-04-10,3,4,Left,Right,Undefined,1,Top,2,1,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,91.7469,-3.404151,1.343498,2356.407331,163.238042,11:30,6.48067,-1.11341,6.21508,-13.02264,20.53674,-5.7924,2.24947,-0.35607,82.21009,-5.962096,0.297723,0.416945,77.77442,66.124306,34.184795,,,,,,33.97882,,,3.47213,12.19658,1.01562,50.0,6.21896,-2.87218,-132.83913,-8.20839,6.06302,34.49292,-10.87639,SOU_TRO,IOW_HAW,DedeauxField,D1,BIG10,20260410-DedeauxField-1,861071c0-354b-11f1-ac1f-8bbff02d27d6,90.40155,66.51983,,9.53681,,,,1.44966,2.15647,0.32483,62684f8d-8c64-4301-93bc-24b482f6fa12,2026-04-11,02:09:50.81,2026-04-10T19:09:50.8112384-07:00,2026-04-11T02:09:50.8112384Z,,v3,5047,1232,35085,"Cadena, Isaac",822347,Right,SOU_TRO,97054e56-695e-4044-97af-d67744a66974,54.27988,-133.94583,17.24646,6.47673,-7.85942,-5.4382,1.1109,-3.06671,3.03151,215.126711,1.44966,38.19306,-14.10984,4.46647,-1.15179,0.27614,-0.06537,0.01343,-0.00177,2.15647,104.3076,-32.0098,4.32222,-0.72175,0.08848,-0.00557,-0.00161,0.00044,0.32483,25.94116,6.32554,-3.68427,1.23223,-0.35399,0.09504,-0.02177,0.00299,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,
20,2026-04-10,1,1,Left,Right,Undefined,2,Top,0,0,0,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,91.97547,-4.877226,1.221404,2261.179216,148.209555,11:00,6.55518,-0.96475,6.17773,-16.58477,17.30351,-9.84036,0.6572,-0.65668,81.84816,-8.071077,-0.555426,0.418983,,,,,,,,,,,,5.56012,11.18804,0.87738,50.0,6.17761,-2.4121,-132.79481,-11.78352,9.60273,37.12584,-12.85153,SOU_TRO,IOW_HAW,DedeauxField,D1,BIG10,20260410-DedeauxField-1,033317b0-354d-11f1-ac1f-8bbff02d27d6,89.96173,,,10.1273,,,,,,,62684f8d-8c64-4301-93bc-24b482f6fa12,2026-04-11,02:20:30.17,2026-04-10T19:20:30.1757952-07:00,2026-04-11T02:20:30.1757952Z,,v3,5047,1232,35085,"Cadena, Isaac",822347,Right,SOU_TRO,6694c5de-59db-4c13-9499-52a312d411fc,54.31605,-133.99603,18.56292,6.55214,-11.3677,-6.42576,0.96045,-2.7228,4.80136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
21,2026-04-10,1,2,Left,Right,Undefined,2,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,79.31819,0.037374,0.706044,2554.945037,310.057043,4:15,6.1614,-1.61926,5.63908,-55.31255,-8.90469,12.87127,1.58689,0.11203,70.83415,-10.103222,3.012746,0.490306,,,,,,,,,,,,-6.25323,-4.0039,1.55089,50.0,6.12972,-1.9245,-114.84493,-1.80025,-8.02855,28.92117,-37.31467,SOU_TRO,IOW_HAW,DedeauxField,D1,BIG10,20260410-DedeauxField-1,0e4f0690-354d-11f1-ac1f-8bbff02d27d6,76.87534,,,8.48403,,,,,,,62684f8d-8c64-4301-93bc-24b482f6fa12,2026-04-11,02:20:48.69,2026-04-10T19:20:48.6981120-07:00,2026-04-11T02:20:48.6981120Z,,v3,5047,1232,35085,"Cadena, Isaac",822347,Right,SOU_TRO,6bd43d1b-5050-4096-a77d-098512f581e3,54.85685,-116.06158,14.46059,6.17243,-0.23051,-18.65734,1.62475,-1.58676,-4.01427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
